Job: 4121 | DGX | Wed Feb 25 11:00:45 CET 2026
[1/3] Sanitize JSONL...
✅ sanitized: in=15000, out=15000, bad=0
   wrote -> data/processed/train_detect.clean.jsonl
[2/3] Split train/val...
[SPLIT] total=15000 train=14700 val=300
train-> data/processed/train_detect.clean.train.jsonl
val  -> data/processed/train_detect.clean.val.jsonl
[3/3] Train DETECT...
trainable params: 40,370,176 || all params: 7,653,162,496 || trainable%: 0.5275
{'loss': 0.2096, 'grad_norm': 0.2936510145664215, 'learning_rate': 9.347116430903155e-05, 'epoch': 0.53}
{'loss': 0.2311, 'grad_norm': 0.31191739439964294, 'learning_rate': 9.129488574537541e-05, 'epoch': 0.54}
{'eval_loss': 0.22268050909042358, 'eval_runtime': 23.2164, 'eval_samples_per_second': 12.922, 'eval_steps_per_second': 1.637, 'epoch': 0.54}
{'loss': 0.2175, 'grad_norm': 0.3187791705131531, 'learning_rate': 8.911860718171926e-05, 'epoch': 0.56}
{'loss': 0.2222, 'grad_norm': 0.28725892305374146, 'learning_rate': 8.694232861806312e-05, 'epoch': 0.57}
{'loss': 0.2265, 'grad_norm': 0.23958319425582886, 'learning_rate': 8.476605005440697e-05, 'epoch': 0.58}
{'loss': 0.2247, 'grad_norm': 0.39682236313819885, 'learning_rate': 8.258977149075082e-05, 'epoch': 0.59}
{'loss': 0.2239, 'grad_norm': 0.2791942059993744, 'learning_rate': 8.041349292709467e-05, 'epoch': 0.6}
{'loss': 0.222, 'grad_norm': 0.22408849000930786, 'learning_rate': 7.823721436343853e-05, 'epoch': 0.61}
{'loss': 0.2182, 'grad_norm': 0.2865883409976959, 'learning_rate': 7.606093579978238e-05, 'epoch': 0.62}
{'loss': 0.2136, 'grad_norm': 0.28021103143692017, 'learning_rate': 7.388465723612623e-05, 'epoch': 0.63}
{'loss': 0.2162, 'grad_norm': 0.3072773218154907, 'learning_rate': 7.170837867247007e-05, 'epoch': 0.64}
{'loss': 0.1949, 'grad_norm': 0.36382660269737244, 'learning_rate': 6.953210010881394e-05, 'epoch': 0.65}
{'loss': 0.207, 'grad_norm': 0.3311629295349121, 'learning_rate': 6.735582154515778e-05, 'epoch': 0.66}
{'loss': 0.2215, 'grad_norm': 0.2294236570596695, 'learning_rate': 6.517954298150165e-05, 'epoch': 0.67}
{'loss': 0.2084, 'grad_norm': 0.2700759768486023, 'learning_rate': 6.300326441784548e-05, 'epoch': 0.69}
{'loss': 0.1976, 'grad_norm': 0.3593054711818695, 'learning_rate': 6.0826985854189343e-05, 'epoch': 0.7}
{'loss': 0.1999, 'grad_norm': 0.2396356165409088, 'learning_rate': 5.865070729053319e-05, 'epoch': 0.71}
{'loss': 0.2067, 'grad_norm': 0.23592083156108856, 'learning_rate': 5.647442872687704e-05, 'epoch': 0.72}
{'loss': 0.2149, 'grad_norm': 0.27723434567451477, 'learning_rate': 5.4298150163220895e-05, 'epoch': 0.73}
{'loss': 0.2207, 'grad_norm': 0.22838963568210602, 'learning_rate': 5.2121871599564744e-05, 'epoch': 0.74}
{'loss': 0.2195, 'grad_norm': 0.2620314657688141, 'learning_rate': 4.99455930359086e-05, 'epoch': 0.75}
{'loss': 0.1928, 'grad_norm': 0.3116014003753662, 'learning_rate': 4.7769314472252454e-05, 'epoch': 0.76}
{'loss': 0.2074, 'grad_norm': 0.36059704422950745, 'learning_rate': 4.55930359085963e-05, 'epoch': 0.77}
{'loss': 0.1868, 'grad_norm': 0.2767537236213684, 'learning_rate': 4.341675734494016e-05, 'epoch': 0.78}
{'loss': 0.1996, 'grad_norm': 0.2953874170780182, 'learning_rate': 4.1240478781284006e-05, 'epoch': 0.79}
{'loss': 0.1865, 'grad_norm': 0.25237175822257996, 'learning_rate': 3.906420021762786e-05, 'epoch': 0.81}
{'loss': 0.1876, 'grad_norm': 0.2568523585796356, 'learning_rate': 3.688792165397171e-05, 'epoch': 0.82}
{'eval_loss': 0.19873712956905365, 'eval_runtime': 23.2278, 'eval_samples_per_second': 12.916, 'eval_steps_per_second': 1.636, 'epoch': 0.82}
{'loss': 0.1834, 'grad_norm': 0.32779428362846375, 'learning_rate': 3.471164309031556e-05, 'epoch': 0.83}
{'loss': 0.2039, 'grad_norm': 0.3450563848018646, 'learning_rate': 3.253536452665941e-05, 'epoch': 0.84}
{'loss': 0.1989, 'grad_norm': 0.3605383336544037, 'learning_rate': 3.0359085963003265e-05, 'epoch': 0.85}
{'loss': 0.1881, 'grad_norm': 0.3596900999546051, 'learning_rate': 2.8182807399347117e-05, 'epoch': 0.86}
{'loss': 0.1827, 'grad_norm': 0.28554749488830566, 'learning_rate': 2.600652883569097e-05, 'epoch': 0.87}
{'loss': 0.1863, 'grad_norm': 0.26945960521698, 'learning_rate': 2.383025027203482e-05, 'epoch': 0.88}
{'loss': 0.1786, 'grad_norm': 0.20070858299732208, 'learning_rate': 2.1653971708378672e-05, 'epoch': 0.89}
{'loss': 0.1814, 'grad_norm': 0.38144299387931824, 'learning_rate': 1.9477693144722524e-05, 'epoch': 0.9}
{'loss': 0.189, 'grad_norm': 0.24114270508289337, 'learning_rate': 1.730141458106638e-05, 'epoch': 0.91}
{'loss': 0.1926, 'grad_norm': 0.2531597316265106, 'learning_rate': 1.5125136017410229e-05, 'epoch': 0.93}
{'loss': 0.1971, 'grad_norm': 0.35667532682418823, 'learning_rate': 1.2948857453754082e-05, 'epoch': 0.94}
{'loss': 0.1924, 'grad_norm': 0.31533774733543396, 'learning_rate': 1.0772578890097933e-05, 'epoch': 0.95}
{'loss': 0.1826, 'grad_norm': 0.27721914649009705, 'learning_rate': 8.596300326441784e-06, 'epoch': 0.96}
{'loss': 0.1792, 'grad_norm': 0.28127697110176086, 'learning_rate': 6.420021762785637e-06, 'epoch': 0.97}
{'loss': 0.1944, 'grad_norm': 0.24228350818157196, 'learning_rate': 4.243743199129489e-06, 'epoch': 0.98}
{'loss': 0.1904, 'grad_norm': 0.4884580671787262, 'learning_rate': 2.067464635473341e-06, 'epoch': 0.99}
{'train_runtime': 4010.5496, 'train_samples_per_second': 3.665, 'train_steps_per_second': 0.458, 'train_loss': 0.25323790045894917, 'epoch': 1.0}
Done: Wed Feb 25 12:08:13 CET 2026
