Job: 4122 | DGX | Wed Feb 25 11:00:50 CET 2026
[1/3] Sanitize JSONL...
✅ sanitized: in=15000, out=15000, bad=0
   wrote -> data/processed/train_compute.clean.jsonl
[2/3] Split train/val...
[SPLIT] total=15000 train=14700 val=300
train-> data/processed/train_compute.clean.train.jsonl
val  -> data/processed/train_compute.clean.val.jsonl
[3/3] Train COMPUTE...
trainable params: 40,370,176 || all params: 7,653,162,496 || trainable%: 0.5275
{'loss': 0.077, 'grad_norm': 0.20058193802833557, 'learning_rate': 9.347116430903155e-05, 'epoch': 0.53}
{'loss': 0.0753, 'grad_norm': 0.2517046332359314, 'learning_rate': 9.129488574537541e-05, 'epoch': 0.54}
{'eval_loss': 0.06396180391311646, 'eval_runtime': 30.4625, 'eval_samples_per_second': 9.848, 'eval_steps_per_second': 1.247, 'epoch': 0.54}
{'loss': 0.061, 'grad_norm': 0.3563786745071411, 'learning_rate': 8.911860718171926e-05, 'epoch': 0.56}
{'loss': 0.0644, 'grad_norm': 0.3763675093650818, 'learning_rate': 8.694232861806312e-05, 'epoch': 0.57}
{'loss': 0.0805, 'grad_norm': 0.24320653080940247, 'learning_rate': 8.476605005440697e-05, 'epoch': 0.58}
{'loss': 0.0633, 'grad_norm': 0.22593089938163757, 'learning_rate': 8.258977149075082e-05, 'epoch': 0.59}
{'loss': 0.0509, 'grad_norm': 0.15713036060333252, 'learning_rate': 8.041349292709467e-05, 'epoch': 0.6}
{'loss': 0.0576, 'grad_norm': 0.2587665021419525, 'learning_rate': 7.823721436343853e-05, 'epoch': 0.61}
{'loss': 0.0582, 'grad_norm': 0.2512282431125641, 'learning_rate': 7.606093579978238e-05, 'epoch': 0.62}
{'loss': 0.0645, 'grad_norm': 0.4012910723686218, 'learning_rate': 7.388465723612623e-05, 'epoch': 0.63}
{'loss': 0.0572, 'grad_norm': 0.2438545674085617, 'learning_rate': 7.170837867247007e-05, 'epoch': 0.64}
{'loss': 0.0453, 'grad_norm': 0.2771129906177521, 'learning_rate': 6.953210010881394e-05, 'epoch': 0.65}
{'loss': 0.0599, 'grad_norm': 0.4248015880584717, 'learning_rate': 6.735582154515778e-05, 'epoch': 0.66}
{'loss': 0.0437, 'grad_norm': 0.414277046918869, 'learning_rate': 6.517954298150165e-05, 'epoch': 0.67}
{'loss': 0.053, 'grad_norm': 0.3484721779823303, 'learning_rate': 6.300326441784548e-05, 'epoch': 0.69}
{'loss': 0.0603, 'grad_norm': 0.43017494678497314, 'learning_rate': 6.0826985854189343e-05, 'epoch': 0.7}
{'loss': 0.0576, 'grad_norm': 0.2595687210559845, 'learning_rate': 5.865070729053319e-05, 'epoch': 0.71}
{'loss': 0.0499, 'grad_norm': 0.28275832533836365, 'learning_rate': 5.647442872687704e-05, 'epoch': 0.72}
{'loss': 0.0447, 'grad_norm': 0.06318318843841553, 'learning_rate': 5.4298150163220895e-05, 'epoch': 0.73}
