Job ID: 4078
Node: DGX
Wed Feb 18 09:57:19 CET 2026
trainable params: 40,370,176 || all params: 7,655,986,688 || trainable%: 0.5273
{'eval_loss': 0.23649568855762482, 'eval_runtime': 93.95, 'eval_samples_per_second': 12.773, 'eval_steps_per_second': 12.773, 'epoch': 0.14}
{'loss': 0.1719, 'grad_norm': 0.20327074825763702, 'learning_rate': 0.0001722721088435374, 'epoch': 0.14}
{'loss': 0.211, 'grad_norm': 0.4206460118293762, 'learning_rate': 0.0001717278911564626, 'epoch': 0.14}
{'loss': 0.1737, 'grad_norm': 0.21579629182815552, 'learning_rate': 0.00017118367346938778, 'epoch': 0.14}
{'loss': 0.1947, 'grad_norm': 0.31032606959342957, 'learning_rate': 0.00017063945578231292, 'epoch': 0.15}
{'loss': 0.1943, 'grad_norm': 0.33622556924819946, 'learning_rate': 0.0001700952380952381, 'epoch': 0.15}
{'loss': 0.1967, 'grad_norm': 0.13613657653331757, 'learning_rate': 0.00016955102040816327, 'epoch': 0.15}
{'loss': 0.1805, 'grad_norm': 0.13850009441375732, 'learning_rate': 0.00016900680272108844, 'epoch': 0.16}
{'loss': 0.2185, 'grad_norm': 0.1851930320262909, 'learning_rate': 0.0001684625850340136, 'epoch': 0.16}
{'loss': 0.1843, 'grad_norm': 0.267048716545105, 'learning_rate': 0.00016791836734693878, 'epoch': 0.16}
{'loss': 0.1999, 'grad_norm': 0.16775763034820557, 'learning_rate': 0.00016737414965986396, 'epoch': 0.16}
{'loss': 0.1905, 'grad_norm': 0.24147775769233704, 'learning_rate': 0.00016682993197278913, 'epoch': 0.17}
{'loss': 0.1823, 'grad_norm': 0.15610253810882568, 'learning_rate': 0.0001662857142857143, 'epoch': 0.17}
{'loss': 0.1847, 'grad_norm': 0.21805647015571594, 'learning_rate': 0.00016574149659863947, 'epoch': 0.17}
{'loss': 0.1775, 'grad_norm': 0.11547290533781052, 'learning_rate': 0.00016519727891156462, 'epoch': 0.17}
{'loss': 0.1942, 'grad_norm': 0.17437627911567688, 'learning_rate': 0.0001646530612244898, 'epoch': 0.18}
{'loss': 0.2067, 'grad_norm': 0.22723345458507538, 'learning_rate': 0.000164108843537415, 'epoch': 0.18}
{'loss': 0.2069, 'grad_norm': 0.16408756375312805, 'learning_rate': 0.00016356462585034013, 'epoch': 0.18}
{'loss': 0.1712, 'grad_norm': 0.1378563940525055, 'learning_rate': 0.0001630204081632653, 'epoch': 0.19}
{'loss': 0.171, 'grad_norm': 0.12985891103744507, 'learning_rate': 0.0001624761904761905, 'epoch': 0.19}
{'loss': 0.1774, 'grad_norm': 0.11208391934633255, 'learning_rate': 0.00016193197278911565, 'epoch': 0.19}
{'loss': 0.1829, 'grad_norm': 0.17689552903175354, 'learning_rate': 0.00016138775510204082, 'epoch': 0.19}
{'loss': 0.1857, 'grad_norm': 0.16896705329418182, 'learning_rate': 0.000160843537414966, 'epoch': 0.2}
{'loss': 0.207, 'grad_norm': 0.1706354171037674, 'learning_rate': 0.00016029931972789117, 'epoch': 0.2}
{'loss': 0.1926, 'grad_norm': 0.19988198578357697, 'learning_rate': 0.00015975510204081634, 'epoch': 0.2}
{'loss': 0.2008, 'grad_norm': 0.16246508061885834, 'learning_rate': 0.00015921088435374148, 'epoch': 0.2}
{'eval_loss': 0.21863995492458344, 'eval_runtime': 94.2694, 'eval_samples_per_second': 12.729, 'eval_steps_per_second': 12.729, 'epoch': 0.2}
{'loss': 0.1489, 'grad_norm': 0.14295393228530884, 'learning_rate': 0.00015866666666666668, 'epoch': 0.21}
{'loss': 0.1903, 'grad_norm': 0.1560773253440857, 'learning_rate': 0.00015812244897959186, 'epoch': 0.21}
{'loss': 0.1739, 'grad_norm': 0.1671752631664276, 'learning_rate': 0.000157578231292517, 'epoch': 0.21}
{'loss': 0.1667, 'grad_norm': 0.2893286347389221, 'learning_rate': 0.0001570340136054422, 'epoch': 0.21}
{'loss': 0.1883, 'grad_norm': 0.09191857278347015, 'learning_rate': 0.00015648979591836734, 'epoch': 0.22}
{'loss': 0.2034, 'grad_norm': 0.13233382999897003, 'learning_rate': 0.00015594557823129252, 'epoch': 0.22}
{'loss': 0.1533, 'grad_norm': 0.10980921983718872, 'learning_rate': 0.0001554013605442177, 'epoch': 0.22}
{'loss': 0.1671, 'grad_norm': 0.13501735031604767, 'learning_rate': 0.00015485714285714286, 'epoch': 0.23}
{'loss': 0.163, 'grad_norm': 0.13667979836463928, 'learning_rate': 0.00015431292517006803, 'epoch': 0.23}
{'loss': 0.1859, 'grad_norm': 0.26888376474380493, 'learning_rate': 0.0001537687074829932, 'epoch': 0.23}
{'loss': 0.1883, 'grad_norm': 0.1199047639966011, 'learning_rate': 0.00015322448979591838, 'epoch': 0.23}
{'loss': 0.1937, 'grad_norm': 0.14496555924415588, 'learning_rate': 0.00015268027210884355, 'epoch': 0.24}
{'loss': 0.1662, 'grad_norm': 0.12390708178281784, 'learning_rate': 0.00015213605442176872, 'epoch': 0.24}
{'loss': 0.1562, 'grad_norm': 0.10662467777729034, 'learning_rate': 0.0001515918367346939, 'epoch': 0.24}
{'loss': 0.1916, 'grad_norm': 0.20428000390529633, 'learning_rate': 0.00015104761904761907, 'epoch': 0.24}
{'loss': 0.1741, 'grad_norm': 0.17322219908237457, 'learning_rate': 0.0001505034013605442, 'epoch': 0.25}
{'loss': 0.1826, 'grad_norm': 0.1264917254447937, 'learning_rate': 0.00014995918367346938, 'epoch': 0.25}
{'loss': 0.1831, 'grad_norm': 0.12576617300510406, 'learning_rate': 0.00014941496598639458, 'epoch': 0.25}
{'loss': 0.178, 'grad_norm': 0.17067565023899078, 'learning_rate': 0.00014887074829931973, 'epoch': 0.26}
{'loss': 0.1627, 'grad_norm': 0.12775808572769165, 'learning_rate': 0.0001483265306122449, 'epoch': 0.26}
{'loss': 0.1836, 'grad_norm': 0.17188988626003265, 'learning_rate': 0.00014778231292517007, 'epoch': 0.26}
{'loss': 0.1704, 'grad_norm': 0.2057751715183258, 'learning_rate': 0.00014723809523809524, 'epoch': 0.26}
{'loss': 0.1879, 'grad_norm': 0.08916640281677246, 'learning_rate': 0.00014669387755102042, 'epoch': 0.27}
{'loss': 0.1857, 'grad_norm': 0.10921972990036011, 'learning_rate': 0.0001461496598639456, 'epoch': 0.27}
{'loss': 0.1569, 'grad_norm': 0.21118153631687164, 'learning_rate': 0.00014560544217687076, 'epoch': 0.27}
{'eval_loss': 0.21400421857833862, 'eval_runtime': 94.2589, 'eval_samples_per_second': 12.731, 'eval_steps_per_second': 12.731, 'epoch': 0.27}
{'loss': 0.1809, 'grad_norm': 0.11404014378786087, 'learning_rate': 0.00014506122448979593, 'epoch': 0.27}
{'loss': 0.1773, 'grad_norm': 0.16805675625801086, 'learning_rate': 0.00014451700680272108, 'epoch': 0.28}
{'loss': 0.1813, 'grad_norm': 0.10983441025018692, 'learning_rate': 0.00014397278911564628, 'epoch': 0.28}
{'loss': 0.1749, 'grad_norm': 0.4451628625392914, 'learning_rate': 0.00014342857142857145, 'epoch': 0.28}
{'loss': 0.1757, 'grad_norm': 0.16664628684520721, 'learning_rate': 0.0001428843537414966, 'epoch': 0.29}
